"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10552140"	"0.0000929"	"5.18e-08"	"-18.6289473"	"9.048948"	"-2.10588294"	"Cebpa"	"CCAAT/enhancer binding protein (C/EBP), alpha"
"10490150"	"0.0000929"	"5.80e-08"	"18.3685662"	"8.953137"	"1.98229843"	"Zbp1"	"Z-DNA binding protein 1"
"10541581"	"0.0000929"	"6.00e-08"	"-18.2918587"	"8.924541"	"-2.53159626"	"Clec4b1"	"C-type lectin domain family 4, member b1"
"10347481"	"0.0000929"	"6.12e-08"	"-18.2472191"	"8.907821"	"-2.51220358"	"Cyp27a1"	"cytochrome P450, family 27, subfamily a, polypeptide 1"
"10560624"	"0.000108"	"7.60e-08"	"-17.7632723"	"8.722773"	"-3.23817493"	"Apoe"	"apolipoprotein E"
"10434302"	"0.000108"	"8.42e-08"	"-17.5372212"	"8.6339"	"-1.76666549"	"Klhl24"	"kelch-like 24"
"10379636"	"0.000108"	"8.68e-08"	"17.4702641"	"8.607269"	"3.33704"	"Slfn4"	"schlafen 4"
"10529375"	"0.000108"	"9.02e-08"	"-17.3879038"	"8.574318"	"-1.68781463"	"Mxd4"	"Max dimerization protein 4"
"10490903"	"0.000108"	"9.57e-08"	"17.2589263"	"8.522282"	"1.94230232"	"Car13"	"carbonic anhydrase 13"
"10358733"	"0.000108"	"9.69e-08"	"17.2328859"	"8.511711"	"1.9135568"	"Rgl1"	"ral guanine nucleotide dissociation stimulator,-like 1"
"10347291"	"0.000108"	"9.74e-08"	"17.2214528"	"8.507063"	"2.41692552"	"Cxcr2"	"chemokine (C-X-C motif) receptor 2"
"10480035"	"0.0001159"	"1.08e-07"	"16.9915852"	"8.412703"	"1.79516229"	"Pfkfb3"	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
"10472923"	"0.0001254"	"1.22e-07"	"16.7480689"	"8.310826"	"1.57930938"	"Ak4"	"adenylate kinase 4"
"10431697"	"0.0001679"	"1.72e-07"	"-16.0370634"	"8.00161"	"-2.07260928"	"Abcd2"	"ATP-binding cassette, sub-family D (ALD), member 2"
"10489705"	"0.0001679"	"1.75e-07"	"16.0088231"	"7.988954"	"1.7477823"	"Slc13a3"	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3"
"10570291"	"0.000176"	"1.91e-07"	"15.8302762"	"7.908249"	"1.64865427"	"F10"	"coagulation factor X"
"10534927"	"0.000176"	"1.95e-07"	"15.7865263"	"7.888291"	"2.35600013"	"Pilra"	"paired immunoglobin-like type 2 receptor alpha"
"10576784"	"0.0001936"	"2.28e-07"	"-15.4863266"	"7.749376"	"-2.76590004"	"Cd209a"	"CD209a antigen"
"10581434"	"0.0001936"	"2.28e-07"	"-15.4817705"	"7.747241"	"-1.68664744"	"Dpep2"	"dipeptidase 2"
"10490989"	"0.0001993"	"2.42e-07"	"15.3689761"	"7.694121"	"2.82612625"	"Cp"	"ceruloplasmin"
"10531994"	"0.000202"	"2.60e-07"	"15.2267496"	"7.62642"	"1.53878463"	"Gbp11///Gbp10///Gbp9///Gbp6///Gbp8///Gbp4"	"guanylate binding protein 11///guanylate-binding protein 10///guanylate-binding protein 9///guanylate binding protein 6///guanylate-binding protein 8///guanylate binding protein 4"
"10435497"	"0.000202"	"2.62e-07"	"15.2174529"	"7.621967"	"3.21251991"	"Stfa2l1///Stfa2"	"stefin A2 like 1///stefin A2"
"10441815"	"0.000202"	"2.66e-07"	"15.1853043"	"7.606539"	"1.83424624"	"Sod2"	"superoxide dismutase 2, mitochondrial"
"10565819"	"0.0002068"	"2.82e-07"	"-15.075808"	"7.55368"	"-2.48409293"	"Slco2b1"	"solute carrier organic anion transporter family, member 2b1"
"10591739"	"0.0002068"	"2.93e-07"	"15.0012351"	"7.517398"	"3.45962018"	"Acp5"	"acid phosphatase 5, tartrate resistant"
"10363541"	"0.0002068"	"2.94e-07"	"14.9966931"	"7.515181"	"2.32860163"	"Gm5424///Ass1"	"argininosuccinate synthase pseudogene///argininosuccinate synthetase 1"
"10541845"	"0.0002151"	"3.24e-07"	"14.8136991"	"7.425138"	"1.48732515"	"Nop2"	"NOP2 nucleolar protein"
"10498802"	"0.0002151"	"3.27e-07"	"14.7961427"	"7.416425"	"1.6404621"	"Rapgef2"	"Rap guanine nucleotide exchange factor (GEF) 2"
"10494262"	"0.0002151"	"3.28e-07"	"14.7906726"	"7.413708"	"3.16677203"	"Ctsk"	"cathepsin K"
"10520612"	"0.000221"	"3.45e-07"	"-14.6988875"	"7.367924"	"-1.39120671"	"Khk"	"ketohexokinase"
"10351781"	"0.0002408"	"3.93e-07"	"-14.4577047"	"7.24589"	"-1.94230882"	"Kcnj10"	"potassium inwardly-rectifying channel, subfamily J, member 10"
"10571657"	"0.0002408"	"3.95e-07"	"14.4517009"	"7.24282"	"1.83263362"	"Acsl1"	"acyl-CoA synthetase long-chain family member 1"
"10566366"	"0.0002408"	"4.04e-07"	"14.4082727"	"7.220564"	"2.18433027"	"Trim30d"	"tripartite motif-containing 30D"
"10463535"	"0.0002408"	"4.10e-07"	"14.3813522"	"7.206726"	"1.55872043"	"Nolc1///Nolc1"	"nucleolar and coiled-body phosphoprotein 1///nucleolar and coiled-body phosphoprotein 1"
"10432573"	"0.0002408"	"4.22e-07"	"14.3284124"	"7.17942"	"1.72939377"	"Slc11a2"	"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2"
"10471154"	"0.0002408"	"4.26e-07"	"14.3134591"	"7.171685"	"2.28582221"	"Gm5424///Ass1"	"argininosuccinate synthase pseudogene///argininosuccinate synthetase 1"
"10382438"	"0.0002477"	"4.48e-07"	"-14.2241409"	"7.12527"	"-2.06922225"	"Cd300a"	"CD300A molecule"
"10607403"	"0.0002477"	"4.62e-07"	"-14.168092"	"7.09596"	"-1.81550838"	"Kctd12b"	"potassium channel tetramerisation domain containing 12b"
"10428619"	"0.0002477"	"4.64e-07"	"14.1600381"	"7.091737"	"1.77969697"	"Enpp2"	"ectonucleotide pyrophosphatase/phosphodiesterase 2"
"10354649"	"0.0002484"	"4.74e-07"	"-14.1220852"	"7.071795"	"-1.63053022"	"Pgap1"	"post-GPI attachment to proteins 1"
"10485466"	"0.0002543"	"5.25e-07"	"-13.9395838"	"6.974973"	"-1.44242613"	"Cat"	"catalase"
"10504763"	"0.0002543"	"5.28e-07"	"-13.9313926"	"6.970592"	"-1.71142446"	"Galnt12"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12"
"10552546"	"0.0002543"	"5.37e-07"	"-13.9004124"	"6.95399"	"-1.69510743"	"Klk1b3///Klk1b4///Klk1b8///Klk1b1///Klk1b5///Klk1b27///Klk1b24///Klk1b21///Klk1b11///Klk1///Klk1b7-ps///Klk1b9///Klk1b22"	"kallikrein 1-related peptidase b3///kallikrein 1-related pepidase b4///kallikrein 1-related peptidase b8///kallikrein 1-related peptidase b1///kallikrein 1-related peptidase b5///kallikrein 1-related peptidase b27///kallikrein 1-related peptidase b24///kallikrein 1-related peptidase b21///kallikrein 1-related peptidase b11///kallikrein 1///kallikrein 1-related peptidase b7, pseudogene///kallikrein 1-related peptidase b9///kallikrein 1-related peptidase b22"
"10549222"	"0.0002543"	"5.39e-07"	"13.8954966"	"6.951352"	"1.47507958"	"Bcat1"	"branched chain aminotransferase 1, cytosolic"
"10462390"	"0.0002543"	"5.41e-07"	"13.8861984"	"6.946358"	"2.57844665"	"Cd274"	"CD274 antigen"
"10532839"	"0.0002543"	"5.43e-07"	"-13.8820503"	"6.944129"	"-1.42210705"	"Trpv4"	"transient receptor potential cation channel, subfamily V, member 4"
"10533145"	"0.0002543"	"5.55e-07"	"-13.8426268"	"6.922904"	"-1.35348791"	"Tpcn1"	"two pore channel 1"
"10355141"	"0.0002543"	"5.56e-07"	"13.8408117"	"6.921925"	"1.52925621"	"Klf7"	"Kruppel-like factor 7 (ubiquitous)"
"10469786"	"0.0002599"	"5.80e-07"	"13.7674812"	"6.882241"	"2.52410589"	"Il1f9"	"interleukin 1 family, member 9"
"10496387"	"0.0002599"	"5.91e-07"	"-13.7347702"	"6.864457"	"-1.34047829"	"Dnajb14"	"DnaJ heat shock protein family (Hsp40) member B14"
"10460833"	"0.0002599"	"6.06e-07"	"13.6902293"	"6.840158"	"1.24294607"	"Ehd1"	"EH-domain containing 1"
"10535841"	"0.0002599"	"6.22e-07"	"-13.6438575"	"6.814758"	"-2.01416658"	"Slc46a3"	"solute carrier family 46, member 3"
"10536505"	"0.0002599"	"6.37e-07"	"13.6034806"	"6.792558"	"3.35278359"	"Met"	"met proto-oncogene"
"10349166"	"0.0002599"	"6.38e-07"	"13.6014966"	"6.791465"	"3.11207978"	"Serpinb10"	"serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 10"
"10530692"	"0.0002599"	"6.42e-07"	"13.5909301"	"6.785641"	"1.50122887"	"Kdr"	"kinase insert domain protein receptor"
"10406270"	"0.0002599"	"6.51e-07"	"13.5656937"	"6.771709"	"1.70178025"	"Glrx"	"glutaredoxin"
"10559207"	"0.0002599"	"6.82e-07"	"-13.4856203"	"6.727298"	"-1.48905861"	"Lsp1"	"lymphocyte specific 1"
"10406254"	"0.0002599"	"6.84e-07"	"13.4825729"	"6.725601"	"1.62209479"	"Ell2"	"elongation factor RNA polymerase II 2"
"10546137"	"0.0002599"	"6.89e-07"	"-13.4687213"	"6.717885"	"-1.56934263"	"Abtb1"	"ankyrin repeat and BTB (POZ) domain containing 1"
"10435305"	"0.0002599"	"6.92e-07"	"-13.4626705"	"6.714511"	"-1.51690776"	"Itgb5"	"integrin beta 5"
"10510391"	"0.0002599"	"6.94e-07"	"13.4574395"	"6.711592"	"1.99717551"	"Srm"	"spermidine synthase"
"10563085"	"0.0002599"	"6.94e-07"	"-13.4568165"	"6.711245"	"-2.47281045"	"Mup1///Fcgrt"	"major urinary protein 1///Fc receptor, IgG, alpha chain transporter"
"10400072"	"0.0002615"	"7.11e-07"	"13.4164959"	"6.688704"	"2.3002023"	"Scin"	"scinderin"
"10379518"	"0.0002615"	"7.16e-07"	"13.4032102"	"6.681259"	"4.63758879"	"Ccl7"	"chemokine (C-C motif) ligand 7"
"10359861"	"0.0002615"	"7.26e-07"	"-13.3814989"	"6.669074"	"-1.61046638"	"Mgst3"	"microsomal glutathione S-transferase 3"
"10410931"	"0.0002668"	"7.50e-07"	"13.3263268"	"6.638002"	"1.94338304"	"Vcan"	"versican"
"10437160"	"0.0002769"	"7.99e-07"	"13.2190716"	"6.577158"	"2.86339674"	"Ets2"	"E26 avian leukemia oncogene 2, 3' domain"
"10467653"	"0.0002769"	"8.06e-07"	"13.2035412"	"6.5683"	"1.38201955"	"Rrp12"	"ribosomal RNA processing 12 homolog (S. cerevisiae)"
"10476945"	"0.0002769"	"8.07e-07"	"13.2031091"	"6.568053"	"2.9523232"	"Cst7"	"cystatin F (leukocystatin)"
"10458894"	"0.0002852"	"8.41e-07"	"13.1340015"	"6.528482"	"3.68715991"	"Lox"	"lysyl oxidase"
"10416355"	"0.0002942"	"8.77e-07"	"-13.0626903"	"6.48739"	"-1.8629068"	"Rcbtb2"	"regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2"
"10365559"	"0.0003131"	"9.48e-07"	"-12.9351094"	"6.413212"	"-1.33334993"	"Igf1"	"insulin-like growth factor 1"
"10552562"	"0.0003131"	"9.73e-07"	"-12.8923821"	"6.388177"	"-1.26564141"	"Klk1b1"	"kallikrein 1-related peptidase b1"
"10435501"	"0.0003131"	"9.83e-07"	"12.8760996"	"6.378611"	"2.96140542"	""	""
"10377927"	"0.0003131"	"1.00e-06"	"-12.8453446"	"6.360504"	"-1.19855237"	"Rnf167"	"ring finger protein 167"
"10498024"	"0.0003131"	"1.00e-06"	"12.8419885"	"6.358526"	"3.11186735"	"Slc7a11"	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11"
"10476093"	"0.0003131"	"1.01e-06"	"12.8337609"	"6.353672"	"1.56592239"	"Nop56"	"NOP56 ribonucleoprotein"
"10598750"	"0.0003131"	"1.02e-06"	"-12.8128623"	"6.341326"	"-2.23586373"	"Gpr34"	"G protein-coupled receptor 34"
"10581605"	"0.0003131"	"1.04e-06"	"12.7864672"	"6.325699"	"2.49063142"	"Hp"	"haptoglobin"
"10404380"	"0.0003131"	"1.05e-06"	"-12.7626918"	"6.311592"	"-1.64148308"	"Dusp22"	"dual specificity phosphatase 22"
"10379511"	"0.0003131"	"1.05e-06"	"12.7609797"	"6.310575"	"3.17977001"	"Ccl2"	"chemokine (C-C motif) ligand 2"
"10405693"	"0.0003131"	"1.07e-06"	"-12.7424424"	"6.299552"	"-1.35182759"	"Dapk1"	"death associated protein kinase 1"
"10503259"	"0.0003131"	"1.07e-06"	"-12.7396626"	"6.297898"	"-1.39802546"	"Trp53inp1"	"transformation related protein 53 inducible nuclear protein 1"
"10381462"	"0.0003131"	"1.08e-06"	"-12.719725"	"6.286019"	"-1.50783623"	"Rdm1"	"RAD52 motif 1"
"10533720"	"0.0003131"	"1.09e-06"	"12.7062028"	"6.27795"	"1.44519454"	"Hcar2"	"hydroxycarboxylic acid receptor 2"
"10585699"	"0.0003131"	"1.10e-06"	"12.6976911"	"6.272866"	"1.47646017"	"Fabp5"	"fatty acid binding protein 5, epidermal"
"10593776"	"0.0003148"	"1.11e-06"	"12.6730759"	"6.25814"	"1.55811003"	"Nrg4"	"neuregulin 4"
"10540897"	"0.0003154"	"1.14e-06"	"-12.6388538"	"6.237613"	"-1.87976159"	"Pparg"	"peroxisome proliferator activated receptor gamma"
"10569877"	"0.0003154"	"1.14e-06"	"12.638601"	"6.237461"	"2.18761427"	"Mcemp1"	"mast cell expressed membrane protein 1"
"10398717"	"0.0003189"	"1.16e-06"	"12.6056061"	"6.217608"	"1.37717957"	"Trmt61a"	"tRNA methyltransferase 61A"
"10518147"	"0.0003191"	"1.17e-06"	"12.5891248"	"6.207669"	"3.85916122"	"Pdpn"	"podoplanin"
"10416371"	"0.000329"	"1.22e-06"	"-12.5256046"	"6.169222"	"-1.25036794"	"Lpar6"	"lysophosphatidic acid receptor 6"
"10390574"	"0.0003321"	"1.24e-06"	"-12.495484"	"6.150912"	"-1.31916469"	"Fbxl20"	"F-box and leucine-rich repeat protein 20"
"10346843"	"0.000334"	"1.26e-06"	"12.4719117"	"6.136547"	"1.34339598"	"Nrp2"	"neuropilin 2"
"10416004"	"0.0003367"	"1.28e-06"	"-12.4447382"	"6.119949"	"-1.87012532"	"Zfp395"	"zinc finger protein 395"
"10385903"	"0.0003448"	"1.34e-06"	"-12.377293"	"6.078573"	"-1.90599136"	"Pdlim4"	"PDZ and LIM domain 4"
"10605113"	"0.0003448"	"1.35e-06"	"-12.3679341"	"6.072811"	"-1.13031295"	"L1cam"	"L1 cell adhesion molecule"
"10504817"	"0.0003448"	"1.35e-06"	"-12.3645023"	"6.070697"	"-1.3819185"	"Tgfbr1"	"transforming growth factor, beta receptor I"
"10439126"	"0.0003466"	"1.38e-06"	"-12.3314722"	"6.050315"	"-1.11908531"	""	""
"10538356"	"0.0003466"	"1.38e-06"	"-12.3262063"	"6.04706"	"-2.11969654"	"Chn2"	"chimerin 2"
"10366796"	"0.0003466"	"1.39e-06"	"12.3147154"	"6.039951"	"1.43380976"	"Mettl1"	"methyltransferase like 1"
"10372781"	"0.0003514"	"1.43e-06"	"12.2799701"	"6.01841"	"1.29237831"	"Irak3"	"interleukin-1 receptor-associated kinase 3"
"10350630"	"0.0003553"	"1.45e-06"	"-12.2494275"	"5.999417"	"-1.42982282"	"Fam129a"	"family with sequence similarity 129, member A"
"10524631"	"0.0003606"	"1.49e-06"	"12.2130078"	"5.976699"	"1.73503424"	"Oasl1"	"2'-5' oligoadenylate synthetase-like 1"
"10470182"	"0.0003682"	"1.53e-06"	"-12.165784"	"5.947127"	"-1.27903608"	"Bmyc"	"brain expressed myelocytomatosis oncogene"
"10419198"	"0.0003682"	"1.55e-06"	"12.1542578"	"5.93989"	"1.13594388"	"Ero1l"	"ERO1-like (S. cerevisiae)"
"10399005"	"0.0003682"	"1.57e-06"	"-12.1312136"	"5.925396"	"-1.32216707"	"Crip1"	"cysteine-rich protein 1 (intestinal)"
"10392221"	"0.0003682"	"1.57e-06"	"12.1292447"	"5.924157"	"1.46015353"	"Pecam1"	"platelet/endothelial cell adhesion molecule 1"
"10542470"	"0.0003808"	"1.64e-06"	"-12.0643729"	"5.883181"	"-1.40879615"	"Mgst1"	"microsomal glutathione S-transferase 1"
"10443027"	"0.0004179"	"1.81e-06"	"-11.9095603"	"5.784384"	"-1.59334545"	"Crebrf"	"CREB3 regulatory factor"
"10490838"	"0.0004189"	"1.85e-06"	"11.8763178"	"5.762982"	"1.52137153"	"Fabp5"	"fatty acid binding protein 5, epidermal"
"10585048"	"0.0004189"	"1.86e-06"	"-11.8714749"	"5.759858"	"-1.19126432"	"Cadm1"	"cell adhesion molecule 1"
"10397148"	"0.0004189"	"1.87e-06"	"-11.8614333"	"5.753377"	"-1.79628341"	"Acot1"	"acyl-CoA thioesterase 1"
"10370376"	"0.0004189"	"1.88e-06"	"11.856031"	"5.749888"	"1.21987112"	"Pfkl"	"phosphofructokinase, liver, B-type"
"10404606"	"0.0004189"	"1.89e-06"	"-11.8463345"	"5.74362"	"-1.37562182"	"Ly86"	"lymphocyte antigen 86"
"10392796"	"0.0004208"	"1.93e-06"	"-11.8140996"	"5.722744"	"-1.21456717"	"Cd300lb///Cd300lb"	"CD300 molecule like family member B///CD300 molecule like family member B"
"10360306"	"0.0004208"	"1.93e-06"	"11.8117924"	"5.721247"	"1.56389313"	"Slamf8"	"SLAM family member 8"
"10494114"	"0.0004208"	"1.94e-06"	"-11.8050607"	"5.716879"	"-1.15972831"	"Selenbp1"	"selenium binding protein 1"
"10548552"	"0.0004258"	"1.98e-06"	"11.7758523"	"5.697891"	"3.23895947"	"Klra2"	"killer cell lectin-like receptor, subfamily A, member 2"
"10430186"	"0.0004285"	"2.01e-06"	"11.7550872"	"5.68436"	"2.93063866"	"Apol7c"	"apolipoprotein L 7c"
"10345241"	"0.0004354"	"2.05e-06"	"11.7198907"	"5.661365"	"1.24858083"	"Dst"	"dystonin"
"10478633"	"0.0004411"	"2.10e-06"	"11.6879459"	"5.640428"	"3.98226975"	"Mmp9"	"matrix metallopeptidase 9"
"10426891"	"0.0004411"	"2.11e-06"	"-11.6785562"	"5.634262"	"-1.28199599"	"Mettl7a1"	"methyltransferase like 7A1"
"10354506"	"0.0004429"	"2.15e-06"	"-11.6520265"	"5.61681"	"-1.0929606"	"Mfsd6"	"major facilitator superfamily domain containing 6"
"10472097"	"0.0004429"	"2.15e-06"	"11.6508398"	"5.616028"	"1.58167414"	"Fmnl2"	"formin-like 2"
"10356880"	"0.0004473"	"2.19e-06"	"-11.6254094"	"5.599256"	"-1.38726548"	"St8sia4///St8sia4"	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4///ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"
"10497079"	"0.0004485"	"2.21e-06"	"-11.6108097"	"5.589609"	"-1.63549942"	"Ptger3"	"prostaglandin E receptor 3 (subtype EP3)"
"10439296"	"0.0004818"	"2.39e-06"	"11.4939764"	"5.511923"	"1.54337402"	"Stfa2"	"stefin A2"
"10541307"	"0.0004818"	"2.41e-06"	"11.4820348"	"5.503934"	"1.78574319"	"Usp18"	"ubiquitin specific peptidase 18"
"10606016"	"0.0004818"	"2.42e-06"	"11.4737297"	"5.498372"	"1.20852751"	"Il2rg"	"interleukin 2 receptor, gamma chain"
"10507594"	"0.0004908"	"2.48e-06"	"11.436384"	"5.473308"	"1.73662702"	"Slc2a1"	"solute carrier family 2 (facilitated glucose transporter), member 1"
"10392098"	"0.0004988"	"2.54e-06"	"11.4025893"	"5.45055"	"1.16821238"	"Ftsj3"	"FtsJ RNA methyltransferase homolog 3 (E. coli)"
"10435504"	"0.0005058"	"2.60e-06"	"11.3723471"	"5.430122"	"1.37591128"	"Gm5416"	"predicted gene 5416"
"10378681"	"0.0005156"	"2.66e-06"	"-11.3345126"	"5.404481"	"-1.07186099"	"Inpp5k"	"inositol polyphosphate 5-phosphatase K"
"10495285"	"0.0005227"	"2.72e-06"	"-11.3048196"	"5.384292"	"-1.14510222"	"Sort1"	"sortilin 1"
"10406598"	"0.0005281"	"2.78e-06"	"-11.2719621"	"5.361885"	"-1.27579346"	"Serinc5"	"serine incorporator 5"
"10349174"	"0.0005281"	"2.78e-06"	"11.2706888"	"5.361015"	"1.83158714"	"Serpinb8"	"serine (or cysteine) peptidase inhibitor, clade B, member 8"
"10432636"	"0.000536"	"2.86e-06"	"-11.2309173"	"5.333794"	"-1.32140829"	"Smagp"	"small cell adhesion glycoprotein"
"10525271"	"0.000536"	"2.88e-06"	"11.2225516"	"5.328055"	"1.39592379"	"Naa25"	"N(alpha)-acetyltransferase 25, NatB auxiliary subunit"
"10557481"	"0.000536"	"2.90e-06"	"-11.2106198"	"5.319861"	"-1.72738585"	"Ypel3"	"yippee-like 3 (Drosophila)"
"10573583"	"0.000536"	"2.91e-06"	"-11.2071631"	"5.317486"	"-1.00219107"	"Man2b1"	"mannosidase 2, alpha B1"
"10483679"	"0.000536"	"2.92e-06"	"-11.2023021"	"5.314144"	"-1.40430813"	"Gpr155"	"G protein-coupled receptor 155"
"10481949"	"0.0005546"	"3.04e-06"	"11.143833"	"5.273824"	"2.39431267"	"Traf1"	"TNF receptor-associated factor 1"
"10569102"	"0.0005554"	"3.08e-06"	"11.1258779"	"5.261396"	"1.65490952"	"Irf7"	"interferon regulatory factor 7"
"10548333"	"0.0005554"	"3.08e-06"	"11.1237111"	"5.259895"	"2.08598923"	"Cd69"	"CD69 antigen"
"10587012"	"0.0005601"	"3.14e-06"	"-11.0962249"	"5.240825"	"-1.17326347"	"Ccpg1"	"cell cycle progression 1"
"10523297"	"0.0005601"	"3.15e-06"	"-11.0938524"	"5.239176"	"-1.42441149"	"Ccng2"	"cyclin G2"
"10354374"	"0.0005675"	"3.22e-06"	"-11.0595843"	"5.215323"	"-1.60638342"	"Slc40a1"	"solute carrier family 40 (iron-regulated transporter), member 1"
"10508392"	"0.0005675"	"3.23e-06"	"11.0575748"	"5.213922"	"1.12490073"	"Rnf19b"	"ring finger protein 19B"
"10376324"	"0.0005705"	"3.26e-06"	"11.041455"	"5.202672"	"1.2481167"	"Gm12250"	"predicted gene 12250"
"10580033"	"0.0005782"	"3.36e-06"	"-11.0007897"	"5.174213"	"-1.38848575"	"Adgre5"	"adhesion G protein-coupled receptor E5"
"10421309"	"0.0005782"	"3.36e-06"	"10.9996002"	"5.173378"	"1.40964914"	"Slc39a14"	"solute carrier family 39 (zinc transporter), member 14"
"10438639"	"0.0005782"	"3.37e-06"	"-10.9968263"	"5.171433"	"-1.66846132"	"Dgkg"	"diacylglycerol kinase, gamma"
"10435075"	"0.0005835"	"3.43e-06"	"10.9715938"	"5.15371"	"2.14972642"	"Tfrc"	"transferrin receptor"
"10353775"	"0.0005835"	"3.46e-06"	"10.9590168"	"5.144861"	"1.29246884"	"Bend6"	"BEN domain containing 6"
"10452316"	"0.0005835"	"3.46e-06"	"10.9588084"	"5.144714"	"1.7621692"	"C3"	"complement component 3"
"10533345"	"0.0005867"	"3.51e-06"	"-10.937233"	"5.129507"	"-1.03258399"	"Aldh2"	"aldehyde dehydrogenase 2, mitochondrial"
"10534935"	"0.0005867"	"3.52e-06"	"10.9346659"	"5.127695"	"2.32897522"	"Pilrb1"	"paired immunoglobin-like type 2 receptor beta 1"
"10400095"	"0.0005979"	"3.61e-06"	"10.8990987"	"5.102549"	"2.13416172"	"Ifrd1"	"interferon-related developmental regulator 1"
"10407173"	"0.0005979"	"3.63e-06"	"-10.8907382"	"5.096626"	"-1.39560871"	"Il6st"	"interleukin 6 signal transducer"
"10546891"	"0.0005979"	"3.67e-06"	"-10.8768622"	"5.086784"	"-1.03025537"	"Camk1"	"calcium/calmodulin-dependent protein kinase I"
"10506269"	"0.0005979"	"3.67e-06"	"10.875786"	"5.08602"	"1.45967014"	"Ak4"	"adenylate kinase 4"
"10578964"	"0.000607"	"3.75e-06"	"10.8461969"	"5.064986"	"1.72964095"	"Tma16"	"translation machinery associated 16"
"10593492"	"0.000607"	"3.77e-06"	"10.8386453"	"5.059608"	"1.14951808"	"Zc3h12c"	"zinc finger CCCH type containing 12C"
"10379633"	"0.0006242"	"3.90e-06"	"10.7918954"	"5.026225"	"2.81305876"	"Slfn1"	"schlafen 1"
"10530130"	"0.0006321"	"3.97e-06"	"-10.7665249"	"5.008045"	"-0.9893236"	"Rell1"	"RELT-like 1"
"10392815"	"0.0006323"	"4.00e-06"	"-10.7547817"	"4.999614"	"-1.13767954"	"Cd300c2"	"CD300C molecule 2"
"10544273"	"0.0006323"	"4.03e-06"	"10.7451253"	"4.992674"	"1.59876124"	"Clec5a"	"C-type lectin domain family 5, member a"
"10413222"	"0.0006323"	"4.03e-06"	"10.7431714"	"4.991269"	"1.09289087"	"Ppif"	"peptidylprolyl isomerase F (cyclophilin F)"
"10383502"	"0.0006325"	"4.07e-06"	"10.7312652"	"4.982702"	"1.34704876"	"Slc16a3"	"solute carrier family 16 (monocarboxylic acid transporters), member 3"
"10446693"	"0.0006325"	"4.08e-06"	"10.7278428"	"4.980238"	"1.41320246"	"Wdr43"	"WD repeat domain 43"
